58891288_0_1117541047012405958,1,http://dbpedia.org/ontology/Film
8468806_0_4382447409703007384,1,http://dbpedia.org/ontology/Lake
50245608_0_871275842592178099,0,http://dbpedia.org/ontology/Film
14067031_0_559833072073397908,1,http://dbpedia.org/ontology/Language
8286121_0_8471791395229161598,0,http://dbpedia.org/ontology/Country
39759273_0_1427898308030295194,1,http://dbpedia.org/ontology/Film
14380604_4_3329235705746762392,1,http://dbpedia.org/ontology/Company
20135078_0_7570343137119682530,3,http://dbpedia.org/ontology/Person
29414811_6_8221428333921653560,1,http://dbpedia.org/ontology/VideoGame
34041816_1_4749054164534706977,2,http://dbpedia.org/ontology/City
14067031_0_559833072073397908,7,http://dbpedia.org/ontology/Currency
71137051_0_8039724067857124984,0,http://dbpedia.org/ontology/Bird
29414811_2_4773219892816395776,1,http://dbpedia.org/ontology/VideoGame
99070098_0_2074872741302696997,1,http://dbpedia.org/ontology/Mountain
35188621_0_6058553107571275232,3,http://dbpedia.org/ontology/Person
43237185_1_3636357855502246981,3,http://dbpedia.org/ontology/Scientist
50245608_0_871275842592178099,3,http://dbpedia.org/ontology/Person
46671561_0_6122315295162029872,0,http://dbpedia.org/ontology/VideoGame
29414811_6_8221428333921653560,4,http://dbpedia.org/ontology/Company
38428277_0_1311643810102462607,3,http://dbpedia.org/ontology/Person
77694908_0_6083291340991074532,1,http://dbpedia.org/ontology/Film
20135078_0_7570343137119682530,1,http://dbpedia.org/ontology/Film
43237185_1_3636357855502246981,0,http://dbpedia.org/ontology/Scientist
88523363_0_8180214313099580515,0,http://dbpedia.org/ontology/Plant
58891288_0_1117541047012405958,3,http://dbpedia.org/ontology/Person
60319454_0_3938426910282115527,0,http://dbpedia.org/ontology/Animal
52299421_0_4473286348258170200,1,http://dbpedia.org/ontology/Country
37856682_0_6818907050314633217,0,http://dbpedia.org/ontology/AdministrativeRegion
77694908_0_6083291340991074532,3,http://dbpedia.org/ontology/Person
39759273_0_1427898308030295194,3,http://dbpedia.org/ontology/Person
29414811_2_4773219892816395776,4,http://dbpedia.org/ontology/Company
29414811_13_8724394428539174350,2,http://dbpedia.org/ontology/Genre
10579449_0_1681126353774891032,1,http://dbpedia.org/ontology/Newspaper
29414811_6_8221428333921653560,2,http://dbpedia.org/ontology/Genre
55004961_0_2904467548072189860,0,http://dbpedia.org/ontology/Country
39107734_2_2329160387535788734,1,http://dbpedia.org/ontology/Airport
14380604_4_3329235705746762392,2,http://dbpedia.org/ontology/PopulatedPlace
29414811_13_8724394428539174350,4,http://dbpedia.org/ontology/Company
8468806_0_4382447409703007384,2,http://dbpedia.org/ontology/Country
35188621_0_6058553107571275232,1,http://dbpedia.org/ontology/Film
14067031_0_559833072073397908,5,http://dbpedia.org/ontology/City
88523363_0_8180214313099580515,2,http://dbpedia.org/ontology/Eukaryote
50245608_0_871275842592178099,4,http://dbpedia.org/ontology/Writer
29414811_2_4773219892816395776,2,http://dbpedia.org/ontology/Genre
45073662_0_3179937335063201739,1,http://dbpedia.org/ontology/BaseballPlayer
8286121_0_8471791395229161598,1,http://dbpedia.org/ontology/City
46671561_0_6122315295162029872,1,http://dbpedia.org/ontology/Genre
55004961_0_2904467548072189860,1,http://dbpedia.org/ontology/City
43237185_1_3636357855502246981,2,http://dbpedia.org/ontology/EducationalInstitution
38428277_0_1311643810102462607,1,http://dbpedia.org/ontology/Film
14067031_0_559833072073397908,0,http://dbpedia.org/ontology/Country
34041816_1_4749054164534706977,1,http://dbpedia.org/ontology/Airport
39107734_2_2329160387535788734,2,http://dbpedia.org/ontology/City
29414811_13_8724394428539174350,1,http://dbpedia.org/ontology/VideoGame
